pkg	version	fn
sna	2.8	bn.nlpl.triad
sna	2.8	bn.nltl
sna	2.8	bonpow
sna	2.8	brokerage
sna	2.8	brokerage_R
sna	2.8	centralgraph
sna	2.8	centralization
sna	2.8	clique.census
sna	2.8	cliques_R
sna	2.8	closeness
sna	2.8	coef.bn
sna	2.8	coef.lnam
sna	2.8	component_dist_R
sna	2.8	component.dist
sna	2.8	component.largest
sna	2.8	component.size.byvertex
sna	2.8	components
sna	2.8	compsizes_R
sna	2.8	connectedness
sna	2.8	connectedness_R
sna	2.8	consensus
sna	2.8	cug.test
sna	2.8	cugtest
sna	2.8	cutpoints
sna	2.8	cutpointsDir_R
sna	2.8	cutpointsUndir_R
sna	2.8	cycleCensus_R
sna	2.8	degree
sna	2.8	degree_R
sna	2.8	diag.remove
sna	2.8	dyad.census
sna	2.8	dyadcode_R
sna	2.8	efficiency
sna	2.8	ego.extract
sna	2.8	equiv.clust
sna	2.8	eval.edgeperturbation
sna	2.8	evcent
sna	2.8	evcent_R
sna	2.8	event2dichot
sna	2.8	flowbet
sna	2.8	gapply
sna	2.8	gclust.boxstats
sna	2.8	gclust.centralgraph
sna	2.8	gcor
sna	2.8	gcov
sna	2.8	gden
sna	2.8	gdist.plotdiff
sna	2.8	gdist.plotstats
sna	2.8	geodist
sna	2.8	geodist_adj_R
sna	2.8	geodist_R
sna	2.8	geodist_val_R
sna	2.8	gilschmidt
sna	2.8	gilschmidt_R
