pkg	version	fn
cograph	2.4.5	shortest_paths
cograph	2.4.5	simmelian_strength
cograph	2.4.5	simplify
cograph	2.4.5	sn_edges
cograph	2.4.5	sn_ggplot
cograph	2.4.5	sn_layout
cograph	2.4.5	sn_nodes
cograph	2.4.5	sn_palette
cograph	2.4.5	sn_render
cograph	2.4.5	sn_save
cograph	2.4.5	sn_save_ggplot
cograph	2.4.5	sn_theme
cograph	2.4.5	soplot
cograph	2.4.5	splot
cograph	2.4.5	splot.boot_glasso
cograph	2.4.5	splot.cograph_communities
cograph	2.4.5	splot.group_tna_permutation
cograph	2.4.5	splot.net_bootstrap
cograph	2.4.5	splot.net_mlvar
cograph	2.4.5	splot.net_permutation
cograph	2.4.5	splot.netobject
cograph	2.4.5	splot.tna_bootstrap
cograph	2.4.5	splot.tna_communities
cograph	2.4.5	splot.tna_disparity
cograph	2.4.5	splot.tna_permutation
cograph	2.4.5	splot.wtna_mixed
cograph	2.4.5	subgraphs
cograph	2.4.5	subset_edges
cograph	2.4.5	subset_nodes
cograph	2.4.5	summarize_clusters
cograph	2.4.5	summarize_network
cograph	2.4.5	supra
cograph	2.4.5	supra_adjacency
cograph	2.4.5	supra_interlayer
cograph	2.4.5	supra_layer
cograph	2.4.5	theme_cograph_classic
cograph	2.4.5	theme_cograph_colorblind
cograph	2.4.5	theme_cograph_dark
cograph	2.4.5	theme_cograph_gray
cograph	2.4.5	theme_cograph_minimal
cograph	2.4.5	theme_cograph_nature
cograph	2.4.5	theme_cograph_viridis
cograph	2.4.5	to_cograph
cograph	2.4.5	to_data_frame
cograph	2.4.5	to_df
cograph	2.4.5	to_igraph
cograph	2.4.5	to_matrix
cograph	2.4.5	to_network
cograph	2.4.5	tplot
cograph	2.4.5	triad_census
cograph	2.4.5	trophic_incoherence
cograph	2.4.5	unregister_svg_shape
cograph	2.4.5	verify_igraph
cograph	2.4.5	verify_with_igraph
cograph	2.4.5	vulnerability
cograph	2.4.5	wagg
sna	2.8	%c%.matrix
sna	2.8	add.isolates
sna	2.8	aggarray3d_R
sna	2.8	as.edgelist.sna
sna	2.8	as.sociomatrix.sna
sna	2.8	bbnam
sna	2.8	bbnam.actor
sna	2.8	bbnam.bf
sna	2.8	bbnam.fixed
sna	2.8	bbnam.jntlik
sna	2.8	bbnam.jntlik.slice
sna	2.8	bbnam.pooled
sna	2.8	bbnam.probtie
sna	2.8	betweenness
sna	2.8	betweenness_R
sna	2.8	bicomponent.dist
sna	2.8	bicomponents_R
sna	2.8	blockmodel
sna	2.8	blockmodel.expand
sna	2.8	bn
sna	2.8	bn_cftp_R
sna	2.8	bn_dyadstats_R
sna	2.8	bn_lpl_dyad_R
sna	2.8	bn_lpl_triad_R
sna	2.8	bn_mcmc_R
sna	2.8	bn_ptriad_R
sna	2.8	bn_triadstats_R
sna	2.8	bn.nlpl.dyad
sna	2.8	bn.nlpl.edge
